movie;imdb_rating;imdb_rating_count;directors;writers;stars;metacritic_rating;popularity;runtime;genres;languages;MPAA_rating;release_date;storyline
Bloodshot;5.7;10,568;['Dave Wilson'];['Jeff Wadlow', 'Eric Heisserer', '4 more credits'];['Vin Diesel', 'Eiza González', 'Sam Heughan'];44;13;109 min;['Action', 'Drama', 'Sci-Fi'];['English'];PG-13;13 March 2020 (USA);['    Ray Garrison, an elite soldier who was killed in battle, is brought back to life by an advanced technology that gives him the ability of super human strength and fast healing. With his new abilities, he goes after the man who killed his wife, or at least, who he believes killed his wife. He soon comes to learn that not everything he learns can be trusted. The true question is: Can he even trust himself?']
My Spy;5.5;823;['Peter Segal'];['Erich Hoeber', 'Jon Hoeber'];['Dave Bautista', 'Chloe Coleman', 'Parisa Fitz-Henley'];45;295;99 min;['Action', 'Comedy', 'Family'];['English'];PG-13;9 January 2020 (Australia);['    A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.']
Mulan;;;['Niki Caro'];['Rick Jaffa', 'Amanda Silver', '2 more credits'];['Yifei Liu', 'Donnie Yen', 'Li Gong'];;31;115 min;['Action', 'Adventure', 'Drama', 'Family'];['English'];PG-13;9 March 2020 (USA);"[""    A young Chinese maiden disguises herself as a male warrior in order to save her father. A live-action feature film based on Disney's 'Mulan.'""]"
I Still Believe;6.2;829;['Andrew Erwin', 'Jon Erwin'];['Jon Erwin', 'Jon Gunn'];['Britt Robertson', 'K.J. Apa', 'Melissa Roxburgh'];37;35;116 min;['Drama', 'Music', 'Romance'];['English'];PG;13 March 2020 (USA);['    The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.']
Onward;7.5;20,422;['Dan Scanlon'];['Dan Scanlon', 'Keith Bunin', '4 more credits'];['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus'];61;18;102 min;['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy'];['English'];PG;6 March 2020 (USA);['    Set in a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.']
Godzilla vs. Kong;;;['Adam Wingard'];['Eric Pearson', 'Max Borenstein', '3 more credits'];['Eiza González', 'Millie Bobby Brown', 'Alexander Skarsgård'];;144;;['Action', 'Sci-Fi', 'Thriller'];['English'];;20 November 2020 (USA);['    In a new world where man and monster now coexist, Monarch must lead the way to a prosperous future alongside the Titans, keeping humanity in check. However, rival factions that want to manipulate the Titans for war begin to rise under the guise of a nefarious conspiracy, threatening to wipe out all life on the planet. Meanwhile on Skull Island, strange seismic activity draws the attention of Godzilla and Kong alike.']
A Quiet Place Part II;7.3;151;['John Krasinski'];['Scott Beck', 'John Krasinski', '1 more credit'];['Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy'];;33;97 min;['Horror', 'Thriller'];['English'];PG-13;8 March 2020 (USA);['    Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.']
Emma.;6.9;7,673;['Autumn de Wilde'];['Eleanor Catton', 'Jane Austen'];['Anya Taylor-Joy', 'Johnny Flynn', 'Mia Goth'];71;20;124 min;['Comedy', 'Drama'];['English'];PG;6 March 2020 (USA);"[""    Jane Austen's beloved comedy about finding your equal and earning your happy ending, is reimagined in this. Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along.""]"
The Hunt;6.4;12,875;['Craig Zobel'];['Nick Cuse', 'Damon Lindelof'];['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz'];50;8;90 min;['Action', 'Horror', 'Thriller'];['English'];R;13 March 2020 (USA);"[""    Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.""]"
The Way Back;7.0;4,944;"[""Gavin O'Connor""]";['Brad Ingelsby'];['Ben Affleck', 'Al Madrigal', 'Janina Gavankar'];68;68;108 min;['Drama', 'Sport'];['English'];R;6 March 2020 (USA);"[""    Back in high school, Jack Cunningham had everything going for him. A basketball phenom, he could have punched his ticket to college or even the pros, but, instead, he chose to walk away from the game, forfeiting his future. Jack's glory days are long gone...but, as it turns out, not forgotten. Years later, he gets the chance to take back his life when he is asked to coach the struggling basketball team at his alma mater. Jack reluctantly accepts, surprising no one more than himself, and as the boys start to come together as a team and win, he may get his last shot at redemption.""]"
