title,distributor,gross_revenue,theatres,revenue_per_theatre,opening_week
Onward,Walt Disney,39119861,4310,9077,1
The Way Back,Warner Bros.,8170315,2718,3006,1
Emma,Focus Fea…,4805785,1565,3071,1
